|año|com_aut|pib|pob|sui|nat|paro|ing|pobr|fum|alc|obes|fyv|crim|homi|sati
248|2013|Aragón|32323922|1334.0|7.04|8.74|18.67|12540.0|||1.52|||32.0|0.52|71.0
249|2013|Asturias|20693890|1062.6|10.74|6.28|21.83|12134.0|||1.7|||28.3|0.75|68.4
250|2013|Balears|26227926|1105.8|8.3|9.46|23.17|11513.0|||2.82|||66.8|0.9|72.7
251|2013|Canarias|38066975|2096.2|8.97|7.52|32.58|8806.0|||0.86|||44.5|0.62|61.8
252|2013|Cantabria|11944124|588.4|6.14|8.21|17.8|10932.0|||0.68|||29.3|0.68|63.3
253|2013|Castilla Y León|51280425|2504.7|7.32|7.11|19.8|11230.0|||2.12|||||50.1
254|2013|Castilla - La Mancha|36910747|2083.1|7.53|9.15|28.58|9231.0|||0.44|||35.3|0.72|66.7
255|2013|Cataluña|193328965|7456.3|7.16|9.62|22.51|12862.0|||1.43|||57.9|0.58|67.1
256|2013|Comunitat Valenciana|95110090|4970.0|7.98|8.9|27.19|10451.0|||0.5|||52.4|0.64|69.5
257|2013|Extremadura|17606422|1098.5|6.63|8.09|33.08|8597.0|||1.56|||26.7|0.64|59.1
258|2013|Galicia|54038718|2752.1|10.97|7.17|20.53|10598.0|||1.34|||29.5|0.55|45.3
259|2013|Madrid|193344523|6388.7|1.46|10.22|18.53|13636.0|||1.39|||59.3|0.58|67.2
260|2013|Murcia|27046880|1461.9|7.62|11.02|27.61|9094.0|||1.6|||37.4|0.34|67.3
261|2013|Navarra|17346722|637.4|7.25|9.54|16.16|14781.0|||1.4|||37.5|0.63|75.8
262|2013|País Vasco|61496663|2174.8|7.68|8.81|15.6|14324.0|||1.72|||41.7|0.6|68.7
263|2013|Rioja|7581142|317.2|9.3|9.16|20.58|12003.0|||3.56|||30.1|0.0|66.8
264|2013|Ceuta|1454750|84.4|3.76|12.85|37.02|10852.0|||0.99|||69.3|2.37|65.3
265|2013|Melilla|1339497|83.8|11.11|18.04|26.92|12897.0|||0.13|||56.0|1.19|71.3
266|2014|Andalucía|139135225|8381.4|10.1|9.8|36.22|8897.0||||||42.0|0.82|
267|2014|Aragón|32602458|1327.6|6.99|8.73|21.39|12617.0||||||30.5|0.38|
268|2014|Asturias|20636251|1053.5|12.16|6.26|24.13|11645.0||||||27.0|0.66|
269|2014|Balears|27108615|1108.6|10.05|9.53|22.26|10928.0||||||62.0|1.08|
270|2014|Canarias|38312937|2097.3|8.97|7.74|33.73|8906.0||||||43.0|0.57|
271|2014|Cantabria|12158496|586.0|5.08|7.79|20.44|10395.0||||||29.3|0.51|
272|2014|Castilla Y León|51383670|2483.0|7.58|7.2|21.75|11123.0||||||||
273|2014|Castilla - La Mancha|36136765|2067.3|8.93|8.9|29.97|8759.0||||||34.0|0.77|
274|2014|Cataluña|196999531|7419.6|7.35|9.67|23.12|12759.0||||||57.0|0.77|
275|2014|Comunitat Valenciana|97256083|4951.7|7.89|8.96|28.05|9840.0||||||50.0|0.65|
276|2014|Extremadura|17564650|1094.2|6.42|8.38|33.87|8675.0||||||25.8|0.37|
277|2014|Galicia|54411393|2737.6|11.07|7.17|22.04|10464.0||||||28.6|0.73|
278|2014|Madrid|196018105|6369.1|5.19|10.27|19.76|13506.0||||||57.4|0.64|
279|2014|Murcia|27239109|1464.0|7.44|11.15|28.98|8876.0||||||36.0|0.55|
280|2014|Navarra|17642027|636.8|7.97|9.72|17.93|14356.0||||||41.7|0.16|
281|2014|País Vasco|62636949|2171.7|7.82|8.95|16.58|14932.0||||||40.6|0.46|
282|2014|Rioja|7738447|314.7|7.46|9.02|20.04|11514.0||||||28.4|0.95|
283|2014|Ceuta|1446625|84.5|4.54|14.2|34.84|10091.0||||||62.8|7.1|
284|2014|Melilla|1350573|84.4|1.25|19.33|32.52|12635.0||||||54.7|3.55|
285|2015|Andalucía|146406094|8386.1|9.7|9.6|34.78|8607.0|42.4|||||40.2|0.78|
286|2015|Aragón|33265930|1320.9|8.35|8.59|20.17|12663.0|19.4|||||29.1|0.68|
287|2015|Asturias|21388142|1043.5|12.29|6.18|21.13|11777.0|21.5|||||25.9|0.38|
288|2015|Balears|28653742|1113.5|8.71|9.38|20.0|11317.0|22.7|||||59.9|0.72|
289|2015|Canarias|39636569|2099.3|8.33|7.59|32.41|8578.0|41.5|||||42.7|0.95|
290|2015|Cantabria|12443843|583.4|6.36|7.5|19.42|10324.0|28.2|||||28.7|0.51|
291|2015|Castilla Y León|53183396|2462.2|8.76|7.06|20.77|10807.0|25.1|||||||
292|2015|Castilla - La Mancha|37998035|2054.1|9.05|8.87|29.0|8938.0|36.1|||||32.6|0.63|
293|2015|Cataluña|206434270|7424.0|7.11|9.53|20.33|12797.0|23.5|||||56.0|0.57|
294|2015|Comunitat Valenciana|101214206|4937.2|7.43|8.81|25.82|9556.0|32.6|||||47.5|0.97|
295|2015|Extremadura|18494971|1088.4|5.65|8.18|29.79|8101.0|38.2|||||25.0|0.09|
296|2015|Galicia|57010602|2723.4|12.19|7.13|21.65|10525.0|24.1|||||28.1|0.7|
297|2015|Madrid|206231525|6389.8|5.34|10.14|18.74|13221.0|18.8|||||57.1|0.47|
298|2015|Murcia|29168718|1465.7|7.74|10.91|26.59|8281.0|41.8|||||36.4|0.82|
299|2015|Navarra|18334417|637.5|7.42|9.44|15.71|13904.0|13.9|||||37.5|0.47|
300|2015|País Vasco|65073341|2171.9|8.09|8.71|16.33|14925.0|15.9|||||39.4|0.51|
301|2015|Rioja|8033065|313.9|9.59|8.73|18.16|11750.0|18.6|||||27.2|0.32|
302|2015|Ceuta|1498459|84.4|6.51|12.97|31.85|9493.0|50.2|||||58.8|1.18|
303|2015|Melilla|1407605|85.3|7.09|17.83|28.39|13200.0|26.6|||||57.4|1.17|
304|2016|Andalucía|149901897|8390.7|8.41|9.43|31.54|8402.0|42.8|||||39.5|0.81|
305|2016|Aragón|34542128|1316.2|9.45|8.3|16.29|12931.0|16.4|||||29.0|0.61|
306|2016|Asturias|21675441|1036.5|11.1|6.12|19.11|11957.0|22.1|||||25.2|0.58|
307|2016|Balears|30233284|1123.0|8.54|9.29|17.31|11412.0|26.4|||||60.7|0.8|
308|2016|Canarias|40979670|2106.9|8.79|7.54|29.11|8921.0|38.0|||||42.1|1.0|
309|2016|Cantabria|12833899|581.4|6.3|7.3|17.65|10968.0|19.7|||||29.2|0.0|
310|2016|Castilla Y León|54630532|2442.3|7.82|6.82|18.26|10998.0|22.3|||||||
311|2016|Castilla - La Mancha|39136242|2043.8|7.8|8.71|26.35|8868.0|34.3|||||31.1|0.54|
312|2016|Cataluña|214502547|7452.8|6.62|9.29|18.6|12887.0|18.3|||||54.2|0.72|
313|2016|Comunitat Valenciana|104205396|4936.3|6.79|8.52|22.78|9549.0|32.7|||||46.6|0.61|
314|2016|Extremadura|19069471|1082.5|5.12|8.12|29.09|8947.0|34.7|||||24.3|0.65|
315|2016|Galicia|58564023|2712.1|10.47|7.03|19.31|10484.0|24.7|||||27.4|0.44|
316|2016|Madrid|214469101|6430.9|5.06|9.79|17.06|13182.0|20.0|||||58.1|0.51|
317|2016|Murcia|30009138|1470.9|7.38|10.57|24.62|8326.0|38.0|||||34.9|0.82|
318|2016|Navarra|18911331|639.8|8.14|9.24|13.83|13978.0|13.7|||||40.2|0.16|
319|2016|País Vasco|67114993|2176.8|7.35|8.43|14.78|14318.0|17.4|||||38.0|0.28|
320|2016|Rioja|8074094|314.0|7.23|8.51|15.39|11638.0|19.2|||||25.5|0.0|
321|2016|Ceuta|1537398|84.7|4.25|12.51|27.63|9430.0|35.0|||||54.7|4.72|
322|2016|Melilla|1452752|85.6|6.03|17.19|33.96|11255.0|27.5|||||56.5|1.17|
323|2017|Andalucía|156789484|8388.4|8.13|8.89|28.89|8864.0|42.5|||||39.9|0.58|
324|2017|Aragón|35983544|1315.3|7.96|8.0|14.74|12223.0|18.1|||||28.8|0.61|
325|2017|Asturias|22538267|1029.3|10.87|5.84|17.62|12424.0|19.5|||||24.9|0.49|
326|2017|Balears|31746251|1133.7|8.03|8.88|13.89|13068.0|19.9|||||63.6|0.35|
327|2017|Canarias|43035839|2120.4|8.18|7.29|26.06|9080.0|46.4|||||43.1|0.94|
328|2017|Cantabria|13318023|581.0|6.36|7.09|14.89|11133.0|25.3|||||30.0|0.52|
329|2017|Castilla Y León|55879293|2421.6|7.73|6.4|15.82|11218.0|21.4|||||||
330|2017|Castilla - La Mancha|40768959|2034.1|6.33|8.29|23.55|9085.0|36.6|||||31.5|0.59|
331|2017|Cataluña|223139777|7495.6|6.75|8.97|15.72|13214.0|18.7|||||56.3|0.87|
332|2017|Comunitat Valenciana|108666712|4940.3|6.68|8.18|20.61|9723.0|30.6|||||46.0|0.83|
333|2017|Extremadura|20169546|1075.1|7.1|7.92|27.52|9078.0|35.2|||||24.6|0.74|
334|2017|Galicia|60630852|2702.7|11.07|6.82|17.15|10789.0|25.3|||||27.4|0.48|
335|2017|Madrid|224373156|6486.3|4.73|9.31|15.72|13319.0|21.6|||||58.8|0.6|
336|2017|Murcia|31192490|1476.3|8.42|10.24|19.78|8595.0|34.5|||||35.7|0.95|
337|2017|Navarra|19698794|643.1|7.57|8.96|12.48|14282.0|12.6|||||38.6|1.09|
338|2017|País Vasco|69585295|2182.0|7.68|7.88|12.59|14897.0|16.0|||||38.4|0.23|
339|2017|Rioja|8351707|314.2|8.16|8.21|13.55|12126.0|15.3|||||25.1|0.0|
340|2017|Ceuta|1553567|85.1|5.52|12.29|24.92|10232.0|36.6|||||52.9|1.18|
341|2017|Melilla|1466610|86.0|2.45|15.82|30.75|12183.0|26.2|||||55.2|0.0|
342|2018|Andalucía|161894301|8392.1|8.29|8.45|25.51|9560.0|39.2|||||39.9|0.86|62.9
343|2018|Aragón|37213896|1315.9|7.1|7.58|11.65|12653.0|15.8|||||30.7|0.68|86.1
344|2018|Asturias|23185680|1023.6|11.29|5.6|13.71|12696.0|17.9|||||25.8|0.68|72.6
345|2018|Balears|33185968|1148.0|8.81|8.75|12.43|13664.0|24.0|||||64.2|0.7|89.7
346|2018|Canarias|44609266|2139.2|9.04|6.75|23.46|9257.0|39.7|||||42.4|1.17|78.9
347|2018|Cantabria|13843935|581.2|4.42|6.55|13.56|11873.0|19.9|||||30.4|0.34|77.2
348|2018|Castilla Y León|58326859|2408.6|7.97|6.24|14.08|11697.0|18.2|||||||75.5
349|2018|Castilla - La Mancha|42290925|2032.1|7.47|7.8|20.77|9405.0|33.9|||||33.6|0.39|75.5
350|2018|Cataluña|231101287|7571.0|6.62|8.46|13.41|13272.0|19.1|||||62.3|0.59|80.3
351|2018|Comunitat Valenciana|112749574|4962.0|7.73|7.68|18.17|10288.0|30.8|||||46.7|0.5|77.9
352|2018|Extremadura|20713254|1069.4|6.6|7.33|26.22|8683.0|42.8|||||25.1|0.37|83.8
353|2018|Galicia|62649363|2699.0|10.61|6.14|15.67|11108.0|22.3|||||29.1|0.3|64.4
354|2018|Madrid|233735808|6565.5|5.16|8.74|13.34|13855.0|20.3|||||59.4|0.55|77.1
355|2018|Murcia|31715345|1482.5|6.63|9.92|18.03|8958.0|35.1|||||37.4|0.74|66.9
356|2018|Navarra|20235995|648.8|7.36|8.35|10.24|14434.0|11.9|||||42.0|1.54|82.0
357|2018|País Vasco|71915111|2190.2|7.63|7.41|11.31|14888.0|15.0|||||41.2|0.27|77.0
358|2018|Rioja|8649852|314.9|7.62|7.45|12.0|12561.0|13.1|||||26.3|0.32|78.5
359|2018|Ceuta|1611648|85.2|3.35|11.44|22.45|10235.0|45.9|||||55.4|1.17|58.9
360|2018|Melilla|1510904|86.2|3.53|15.83|27.59|11381.0|27.8|||||63.7|0.0|86.1
361|2019|Andalucía|166478730|8432.1|7.71|8.21|22.99|9643.0|42.3|||||40.2|0.97|
362|2019|Aragón|38465053|1324.4|8.46|7.28|10.63|12425.0|17.6|||||32.2|0.45|
363|2019|Asturias|23666618|1019.2|11.05|5.05|13.61|12464.0|21.8|||||26.7|0.69|
364|2019|Balears|34350576|1166.1|6.1|8.08|11.52|14103.0|15.5|||||66.6|0.51|
365|2019|Canarias|45766832|2163.0|8.44|6.37|20.07|9134.0|40.0|||||44.2|0.92|
366|2019|Cantabria|14274351|582.3|4.58|6.1|10.67|11715.0|24.5|||||31.0|1.03|
367|2019|Castilla Y León|59649198|2400.5|7.76|5.96|12.1|12474.0|18.7|||||||
368|2019|Castilla - La Mancha|43393303|2040.7|6.1|7.51|18.16|9837.0|32.6|||||34.5|0.54|
369|2019|Cataluña|240165818|7673.0|6.75|8.09|11.49|13941.0|17.7|||||63.8|0.76|
370|2019|Comunitat Valenciana|116588528|5015.1|7.72|7.47|15.59|10761.0|29.5|||||46.4|0.8|
371|2019|Extremadura|21166132|1065.6|6.15|7.2|23.64|8917.0|43.3|||||25.9|0.47|
372|2019|Galicia|64502005|2698.7|8.86|5.82|13.34|11438.0|24.8|||||29.7|0.59|
373|2019|Madrid|243889359|6661.4|5.1|8.34|12.22|13863.0|20.1|||||61.2|0.48|
374|2019|Murcia|33000651|1499.0|8.7|9.54|16.76|9331.0|33.4|||||38.1|0.87|
375|2019|Navarra|21070268|655.7|5.75|8.23|10.02|14363.0|11.2|||||44.5|0.76|
376|2019|País Vasco|73999981|2203.0|6.82|7.08|9.97|15294.0|11.9|||||42.9|0.45|
377|2019|Rioja|8889997|317.0|6.11|7.66|10.4|12589.0|17.1|||||27.6|0.0|
378|2019|Ceuta|1659979|84.8|1.11|9.96|29.01|10637.0|46.1|||||56.0|4.72|
379|2019|Melilla|1560101|86.3|1.23|14.64|25.76|14144.0|21.5|||||64.7|1.16|
380|2020|Andalucía|150452909|8465.9|7.52|7.72|21.19|9566.0|39.0|||||34.0|0.72|
381|2020|Aragón|35955571|1331.5|7.75|6.83|10.03|12853.0|20.2|||||27.1|0.3|
382|2020|Asturias|21376392|1014.6|10.67|4.7|14.19|13074.0|23.7|||||24.0|0.49|
383|2020|Balears|26669106|1179.5|8.06|7.78|11.74|13169.0|14.3|||||50.7|0.59|
384|2020|Canarias|37587399|2180.4|8.56|5.87|20.49|9765.0|37.7|||||38.4|0.55|
385|2020|Cantabria|12991241|583.1|5.92|5.85|10.28|12705.0|19.6|||||28.4|0.17|
386|2020|Castilla Y León|54794589|2389.2|7.92|5.71|11.63|12530.0|16.2|||||||
387|2020|Castilla - La Mancha|40254360|2045.9|7.24|7.21|16.21|10061.0|30.4|||||30.3|0.83|
388|2020|Cataluña|214857435|7729.9|6.81|7.64|11.03|14268.0|17.3|||||45.7|0.62|
389|2020|Comunitat Valenciana|106067171|5055.7|8.55|7.1|14.11|11132.0|27.2|||||38.2|0.73|
390|2020|Extremadura|19497343|1062.5|7.05|6.97|21.53|9150.0|36.3|||||23.6|0.85|
391|2020|Galicia|59007178|2698.8|9.57|5.65|11.76|11497.0|24.2|||||27.2|0.41|
392|2020|Madrid|221061932|6728.8|5.18|7.75|10.62|14806.0|19.1|||||46.1|0.56|
393|2020|Murcia|30440306|1513.8|8.35|9.08|14.68|9373.0|32.7|||||33.7|0.66|
394|2020|Navarra|19160726|661.0|6.85|7.66|8.24|14632.0|10.2|||||35.7|0.15|
395|2020|País Vasco|66672598|2213.9|5.95|6.73|9.15|15910.0|14.3|||||34.9|0.59|
396|2020|Rioja|8186915|319.1|8.75|7.33|9.96|13371.0|15.0|||||24.5|1.57|
397|2020|Ceuta|1535718|84.5|4.59|10.04|25.84|10724.0|49.1|||||43.2|2.37|
398|2020|Melilla|1452031|86.6|1.34|11.41|26.95|12989.0|35.9|||||51.6|0.0|
399|2021|Andalucía|166296356|8488.2|9.28|7.72|22.28|10472.0|36.3|||||37.1|0.65|68.3
400|2021|Aragón|38782157|1330.7|7.07|7.21|11.7|13716.0|18.6|||||31.4|0.38|74.8
401|2021|Asturias|23617641|1007.3|10.12|4.74|14.12|13351.0|25.8|||||26.1|0.1|68.4
402|2021|Balears|30512146|1182.3|7.03|7.81|16.14|13565.0|18.0|||||51.6|0.51|72.9
403|2021|Canarias|41407275|2176.9|8.85|5.67|22.62|10252.0|39.8|||||37.3|0.73|69.7
404|2021|Cantabria|14206538|584.6|7.0|5.63|12.14|13205.0|23.4|||||34.0|0.68|68.1
405|2021|Castilla Y León|59465900|2376.7|8.19|5.5|12.06|13236.0|18.4|||||||72.1
406|2021|Castilla - La Mancha|44123986|2050.9|8.43|7.1|17.68|10797.0|31.3|||||32.9|0.49|69.1
407|2021|Cataluña|234820402|7734.5|7.05|7.52|12.63|14990.0|21.4|||||50.5|0.74|74.4
408|2021|Comunitat Valenciana|116386906|5072.7|8.34|7.06|16.19|11926.0|28.8|||||44.4|0.69|71.9
409|2021|Extremadura|21551517|1058.4|8.16|6.87|21.8|9575.0|37.7|||||25.8|0.38|75.2
410|2021|Galicia|64387386|2691.0|9.91|5.5|12.02|11863.0|24.8|||||32.8|0.67|69.0
411|2021|Madrid|239837609|6717.7|5.36|7.62|12.49|15365.0|20.0|||||51.5|0.55|73.1
412|2021|Murcia|33603543|1521.4|8.31|9.11|16.18|10423.0|29.8|||||38.1|0.92|66.4
413|2021|Navarra|20821017|661.3|6.5|7.78|10.06|15970.0|11.0|||||40.4|0.3|78.6
414|2021|País Vasco|72513029|2204.2|7.36|6.56|9.54|16438.0|13.1|||||38.5|0.5|73.4
415|2021|Rioja|8735750|319.2|8.27|6.94|10.8|14303.0|18.2|||||28.6|0.94|74.0
416|2021|Ceuta|1634006|83.1|5.12|8.68|24.53|10750.0|35.9|||||47.1|2.41|64.0
417|2021|Melilla|1534391|85.8|4.96|11.17|23.62|12479.0|38.9|||||48.0|0.0|71.4
418|2022|Andalucía|184051418|8547.7|9.78|7.37|21.85|10388.0|38.0|||||44.4|0.86|67.3
419|2022|Aragón|43655726|1334.8|8.11|6.73|10.33|14023.0|19.4|||||35.9|0.74|74.9
420|2022|Asturias|26698594|1005.5|11.04|4.72|12.35|13421.0|25.3|||||31.9|0.6|71.8
421|2022|Balears|37187160|1198.5|7.09|7.58|14.32|11771.0|22.1|||||63.4|0.25|72.9
422|2022|Canarias|48865336|2199.3|9.75|5.56|23.46|10589.0|36.1|||||43.4|0.58|66.6
423|2022|Cantabria|15560453|586.9|7.31|5.49|11.25|13337.0|21.4|||||40.4|0.17|68.6
424|2022|Castilla Y León|65461058|2379.6|8.81|5.52|11.61|13258.0|21.9|||||||70.5
425|2022|Castilla - La Mancha|50022532|2071.2|7.77|7.01|15.67|10700.0|32.2|||||39.1|0.91|66.9
426|2022|Cataluña|258786739|7831.9|7.18|7.19|11.69|14943.0|20.9|||||60.7|0.79|71.7
427|2022|Comunitat Valenciana|127671811|5162.2|7.5|6.9|16.08|11803.0|29.2|||||51.0|0.72|71.1
428|2022|Extremadura|23479961|1055.6|7.02|6.46|20.16|9865.0|38.1|||||30.4|0.28|68.0
429|2022|Galicia|71637767|2696.1|10.93|5.38|11.54|11835.0|24.1|||||35.2|0.26|64.8
430|2022|Madrid|267385856|6807.6|5.01|7.49|11.69|15504.0|21.2|||||58.9|0.66|73.2
431|2022|Murcia|37408748|1540.7|8.12|8.69|14.71|10558.0|32.0|||||44.6|0.51|70.0
432|2022|Navarra|23208786|668.3|8.7|7.12|10.71|16093.0|13.7|||||50.0|0.44|77.9
433|2022|País Vasco|80260696|2211.1|6.19|6.18|10.29|16255.0|15.1|||||46.0|0.36|76.1
434|2022|Rioja|9766689|320.9|6.87|6.83|11.61|13704.0|20.0|||||36.6|0.31|75.8
435|2022|Ceuta|1768941|83.1|5.55|8.77|30.85|11305.0|40.5|||||43.9|4.82|68.7
436|2022|Melilla|1657781|85.2|4.7|10.49|25.4|13159.0|31.5|||||50.8|2.34|77.2
437|2023|Andalucía|199696056|8608.0|9.44|7.13|19.12|11267.0|34.6|||||48.0|0.83|70.6
438|2023|Aragón|46431013|1346.4|8.09|6.44|9.62|14792.0|17.6|||||37.8|0.67|76.4
439|2023|Asturias|28356243|1007.8|10.52|4.51|12.52|14348.0|23.5|||||33.7|0.6|71.4
440|2023|Balears|41413124|1220.8|9.02|7.16|10.62|13056.0|20.3|||||64.2|0.65|74.1
441|2023|Canarias|54170695|2225.9|9.97|5.39|17.63|11194.0|34.1|||||46.9|0.76|70.1
442|2023|Cantabria|16722660|589.6|9.03|5.05|9.57|14338.0|19.3|||||41.1|0.0|71.5
443|2023|Castilla Y León|70374556|2387.7|8.8|5.23|9.93|13869.0|21.5|||||||71.3
444|2023|Castilla - La Mancha|52978061|2094.3|8.44|6.72|14.64|11536.0|30.2|||||40.0|0.72|71.9
445|2023|Cataluña|283104060|7957.1|7.55|6.81|9.97|15443.0|19.0|||||64.1|0.89|74.0
446|2023|Comunitat Valenciana|139404217|5267.7|8.07|6.72|13.3|12430.0|26.7|||||54.6|0.65|73.6
447|2023|Extremadura|25148240|1054.5|8.33|6.46|17.32|10561.0|36.4|||||33.5|0.38|74.7
448|2023|Galicia|77293057|2702.6|10.4|5.18|11.04|12695.0|23.6|||||35.1|0.67|67.3
449|2023|Madrid|296082614|6940.6|5.73|7.25|11.22|16347.0|19.8|||||59.4|0.48|73.0
450|2023|Murcia|39416093|1560.1|8.9|8.24|13.58|11254.0|28.8|||||47.6|0.96|73.3
451|2023|Navarra|24991726|675.2|8.08|6.66|9.74|17006.0|12.0|||||52.0|0.89|80.0
452|2023|País Vasco|86574047|2222.0|7.06|6.06|8.88|17184.0|14.7|||||48.6|0.27|75.8
453|2023|Rioja|10568380|323.2|8.23|6.18|9.55|14129.0|21.3|||||37.6|0.93|73.7
454|2023|Ceuta|1876147|83.1|2.27|8.22|29.93|13207.0|39.3|||||42.7|6.03|72.7
455|2023|Melilla|1763204|85.7|1.25|8.99|25.94|14310.0|36.4|||||51.0|0.0|73.7
456|2024|Andalucía|212573759|8653.1|9.14||18.24|12389.0|35.9|||||47.3|0.95|66.7
457|2024|Aragón|49292871|1352.5|7.14||8.58|15633.0|18.8|||||39.6|0.59|72.8
458|2024|Asturias|30010316|1011.9|12.18||12.13|16028.0|23.5|||||34.0|0.69|70.7
459|2024|Balears|44591139|1238.3|6.99||10.32|14942.0|18.1|||||64.9|0.57|79.0
460|2024|Canarias|58289432|2248.4|10.05||16.08|12712.0|32.2|||||47.6|0.62|70.0
461|2024|Cantabria|17639726|592.1|6.81||8.14|14680.0|21.6|||||41.9|0.51|71.0
462|2024|Castilla Y León|74621197|2395.6|7.4||9.68|14696.0|22.0|||||||71.8
463|2024|Castilla - La Mancha|56187856|2113.3|7.14||13.21|12559.0|30.6|||||39.5|0.62|67.8
464|2024|Cataluña|301894399|8066.4|7.58||9.33|16677.0|19.7|||||63.4|0.86|71.5
465|2024|Comunitat Valenciana|148200412|5367.5|8.45||12.8|13449.0|27.7|||||52.9|1.06|73.4
466|2024|Extremadura|26586634|1053.9|6.95||17.37|11903.0|31.8|||||32.9|0.66|74.0
467|2024|Galicia|81606895|2710.7|10.16||9.72|13557.0|25.4|||||35.2|0.67|69.2
468|2024|Madrid|316241906|7066.0|5.8||9.95|17513.0|18.3|||||56.5|0.3|73.9
469|2024|Murcia|41901936|1576.9|7.49||12.78|12006.0|28.7|||||47.3|0.89|70.5
470|2024|Navarra|26605806|680.9|9.28||9.94|17748.0|14.8|||||52.7|0.59|79.1
471|2024|País Vasco|91625715|2233.9|5.82||7.73|19086.0|15.0|||||48.4|0.31|75.6
472|2024|Rioja|11225817|325.6|8.57||9.38|14803.0|21.3|||||36.7|1.84|73.2
473|2024|Ceuta|1936392|83.4|5.65||29.97|14555.0|39.8|||||42.5|0.0|70.4
474|2024|Melilla|1826316|86.4|7.19||26.62|15221.0|33.4|||||50.5|0.0|79.0
